questions,answers
What recourses are there for employees whose work may be hazardous to their health,"Workers can file a complaint or report a dangerous situation. Complaints are reviewed to assess the risk and to determine if corrective and control measures are in order. To file a complaint, call the CNESST at 1-844-838-0808 and ask for an on-call inspector.Sections 12–13 of the Act respecting occupational health and safety (AOHS) stipulate that “a worker has a right to refuse to perform particular work if he has reasonable grounds to believe that the performance of that work would expose him to danger to his health, safety or physical well-being, or would expose another person to a similar danger. No worker may, however, exercise his right under section 12 if his refusal to perform the work puts the life, health, safety or physical well-being of another person in immediate danger or if the conditions under which the work is to be performed are ordinary conditions in his kind of work.”Should a worker refuse to work, a CNESST inspector will promptly determine if there is any risk and will make sure that the procedure set out in the AOHS has been followed, i.e., that the worker has notified the immediate superior, the employer or its representative, and informed the union association representative or the prevention representative, as applicable.In addition, the AOHS also provides for the reassignment of pregnant and breastfeeding workers through its For a Safe Maternity Experience Program (FSMEP) and seeks to ensure that pregnant and breastfeeding workers remain safely employed.In view of the current situation, the CNESST is streamlining the FSMEP application procedure to facilitate access and to safeguard the health of pregnant workers and their unborn or breastfed children (see question 36 onward)."
Can the CNESST shut down a workplace due to COVID-19-related risks?,"In the event that a workplace does not comply with government guidelines and the employer does not address the COVID-19-related risk, a CNESST inspector could issue remedial notices to ensure that the employer identifies, controls and eliminates the biological hazard.If the inspector deems that the health, safety or physical well-being of workers is at risk, they may order the closure of the workplace until the employer takes corrective action."
What happens if there is a shortage of N95 respirators?,"In the event of such a shortage, there are other types of masks that meet the minimum standards of the N95.However, some of the masks offering equivalent protection may, for example, require additional training and fit testing to ensure a proper seal. A proper fit is necessary to limit infiltration that could expose the worker to the coronavirus.Moreover, it is the employer’s responsibility to ensure that alternative masks meet the appropriate safety standards for the tasks employees are required to perform. If necessary, the employer may contact the manufacturer to confirm whether the masks are compliant.As stipulated in section 51 of the Act respecting occupational health and safety (AOHS), “every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker.”"
"When a worker has been infected with COVID-19, does an employer necessarily have to disinfect the workplace or clean common areas in a special way?","If anyone has to use the work area of someone who has had flu-like symptoms, cleaning and disinfection of the surfaces will help limit the spread of the virus within the company. Cleaning the surfaces eliminates dirt. Disinfection kills the remaining microorganisms. According to section 152 of the Regulation respecting occupational health and safety, the word “disinfected” means being washed with a bleach-based solution or with some comparable product. . For more information,the INSPQ has issued recommendations:"
Can my employer force me to stay home if I have coronavirus (COVID-19) symptoms?,"Yes, an employer must insist that a worker stay at home if they believe there is a risk. As stipulated in section 51 of the Act respecting occupational health and safety (AOHS), “every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker.In response to the COVID-19 pandemic, the federal government has passed the Quarantine Act. The Act requires that anyone returning from abroad self-isolate for 14 days. Those who fail to comply with this obligation are liable to a fine or imprisonment. These people must be vigilant and monitor their symptoms. Workers must inform their employer if they exhibit symptoms"
 What are the measures to be implemented on construction sites to reduce contamination linked to COVID-19?,"As stipulated in section 51 of the Act respecting occupational health and safety (AOHS), “every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker.” On construction sites, employers and the principal contractor share the responsibility to ensure the health and safety of workers , To this end, the employer must take measures to identify, control and eliminate the virus. For example, the employer must take the necessary sanitary measures to limit the spread of the virus. This obligation also applies to construction sites,In accordance with section 49 of the AOHS, a worker must “take the necessary measures to ensure his health, safety or physical well-being and see that he does not endanger the health, safety or physical well-being of other persons at or near his workplace.In the event that a workplace does not comply with government guidelines and the employer does not address the COVID-19-related risk, a CNESST inspector could demand that the workplace be closed until the employer takes corrective action.To address the construction industry’s concerns regarding the spread of COVID-19, at the request of the Minister of Labour, Employment and Social Solidarity, the CNESST has created the CNESST Tactical Committee – COVID-19 Construction Sites, bringing together employer and labour associations in the construction industry."
How must the employer verify the state of health of the workers arriving on the work site?,"Employers must inquire about the health of each of their workers daily, upon arrival at the work site, by having them answer the following questions: Do you have any of these symptoms: cough, fever, difficulty breathing, sudden loss of smell?
Have you been out of the country in the last 2 weeks?
Are you in contact with someone who has COVID-19? If worker answer yes to any of these questions, they must stay home.Temperature taking is not recommended because the results are unreliable, especially for people who work outdoors.It is important to tell workers to go back home if they have symptoms suggestive of COVID-19 , Answers to these questions are confidential and employers must take the necessary steps to ensure their confidentiality"
What is the time period for an employee who had COVID-19 to return to work?,"The Direction générale de la santé publique authorizes people to be released from self-isolation once all the following criteria have been met.At least 14 days have elapsed since the onset of the disease in its acute phase
No acute symptoms in the past 24 hours (apart from a possible residual cough)
No fever in the past 48 hours (without using antipyretics) , As a general rule, hospitalization is not required for most people who become infected. Most people should therefore be able to stay at home.However, since the health care system is unable to certify that the above criteria have been met, a medical certificate is not required for a return to work."
What is the physical distancing to be respected on the work sites and during transportation of workers?,"Employers must make every effort to ensure that work is arranged in such a way that workers can maintain a physical distance of 2 metres from each other.Employers must also take care to ensure that a physical distance of 2 metres is observed during the following situations: arrival at the work site, breaks, meals and departure from the work site, Work must be scheduled in such a manner as to avoid having a large number of workers in the same place at the same time. That said, teams of workers should be kept together,If physical distancing cannot be respected for more than 15 minutes without a physical barrier, measures must be taken to protect the workers (refer to the section on personal protective equipment).Physical distancing may not be possible for a short period due to the nature of the work to be done. Consequently, workers should always avoid touching their face and should cough into their elbow.In terms of transportation, vehicles should be operated at half the seating capacity. Having two workers in the same vehicle is permitted.It is also recommended to avoid face-to-face meetings and to use the telephone or the Internet instead."
 What are the hygiene measures to be implemented for construction sites?,"Presence of toilets on site , A toilet must be made available to workers from the first day of work. For work sites with 25 workers or more, flushing toilets and sinks are required in accordance with the Safety Code for the construction industry.In fact, a sink containing clean and temperate water must be placed at the disposal of workers for each flushing toilet. It must be maintained in good operating condition.The following products must also be placed at the disposal of workers:Soap or another cleansing agent
A hand dryer, roller towels or paper towels , Where paper towels are used, waste paper baskets, contactless if possible, must be used for their disposa , Other measures to be implemented ,A notice indicating that the water is not suitable as drinking water must be displayed so that it is visible to workers.
For work sites with no more than 24 workers, a chemical toilet may be used.
Toilets must be washed at least twice per work shift—half way through and at the end.
It is important to clean surfaces that workers are likely to touch.Presence of water for hand washing , The employer must ensure that workers have the means to wash their hands at the construction site.
Encouraging hand washing with soap and water for at least 20 seconds should be a priority at the work site.
If soap and water are not available, an alcohol-based gel (60% or more) must be used for at least 20 seconds.
Mobile cleaning units (rentals) are recommended where appropriate. All workers on site must clean their hands:

Upon arriving at and leaving the work site
Before and after eating
Before and after a break
Before smoking
When they go to the toilet ,Keeping the lunch room clean
According to the Safety Code for the construction industry, “on any work site where there are 10 or more workers and where the work lasts more than 7 days, the employer must make a room available to the workers where they may take their meals”.

It is important to clean the lunch room tables before and after each use. The table should be covered with an easily washable surface (plastic or smooth), and the lunch room and its appliances and accessories (refrigerator, microwave, chairs, handles, etc.) should be cleaned every shift to avoid infection.

Depending on how the site is set up, there are many ways to ensure that workers can maintain a social distance of 2 metres between each other during meals: adding trailers, scheduling more than one meal time so workers are not all in the trailer at the same time.

It is also important to leave some space between work clothes hung up in the trailer, and tools, equipment and supplies must not be stored in the lunch room.Tool cleaning
It is recommended that workers do not share tools with each other. If they must, the tools must be disinfected whenever they change hands.

At the end of each shift, it is important to clean and disinfect shared tools and work equipment.

Using gloves does not protect workers against COVID-19. The important thing is to not put your gloves or hands in your face.

According to the public health department, the virus does not penetrate the skin. It is therefore recommended to follow general hygiene practices such as not putting your hands or gloves in your face and washing your hands regularly.

To remove your gloves without becoming infected, it is recommended to follow the procedure provided by Ministère de la Santé et des Services sociaux"
What are the preventive measures to be implemented during work on a contaminated site?,"When carrying out emergency work (plumbing, electricity, etc.) at a contaminated site, always keep a social distance of at least 2 metres from any infected person. It is important to wash your hands and tools when you leave the site."
Must workers use personal protective equipment (PPE) specific to COVID-19 on a construction site?,"It is not recommended for construction workers to wear specific personal protective equipment (PPE) to protect themselves against COVID-19 when 2-metre physical distancing is respected.If the tasks absolutely must must be performed within 2 metres of another person for for more than 15 minutes without a physical barrier, workers are required to:

If the tasks absolutely must must be performed within 2 metres of another person for for more than 15 minutes without a physical barrier, workers are required to:

Wear a procedure mask (surgical mask) and protective glasses (protective eyewear)
ou

Wear a visor.
Wearing a visor must not represent an additional risk for the worker's safety in performing tasks.

Use of an SCBA (self-contained breathing apparatus) that meets the above-mentioned requirements.

The best thing to do is to wash your hands often and avoid touching your face"
"Are there solutions for dealing with COVID-19-related stress, anxiety and depression?","The whole COVID-19 situation has been a rather strange and unusual development. It is normal for people to be afraid, stressed, anxious or depressed.The best way to get better is to be well informed, to take care of yourself and to seek help when needed."
Has the service of statements of offence been limited or suspended?,"The CNESST is limiting the service of statements of offence but still reserves the option to serve those related to a serious violation concerning the health, safety and physical integrity of a worker. The CNESST may therefore serve a statement of offence related to a serious or fatal accident or to COVID-19. It may also serve statements of offence to avoid having its criminal proceedings subject to a statute of limitations. The statute of limitations is one year following the perpetration of an offence."
What do I do if my workplace first aid card expires?,"Due to the exceptional circumstances brought on by the COVID-19 pandemic, the CNESST has decided to extend the validity of workplace first aid cards by 6 months.The CNESST recognizes that it will be difficult for employers to register their employees for the courses required to renew their workplace first aid cards in accordance with the First-aid Minimum Standards Regulation, and has addressed this issue by introducing a relief measure.

As such, all expiring CNESST workplace first aid cards will be valid for an extra 6 months without the employer or the first-aider having to make a request.

The CNESST reserves the right to revise this directive as the situation develops.

Reminder: the only card recognized to meet the requirements of the First-aid Minimum Standards Regulation is the CNESST’s blue workplace first aid card."
 Do I have the right to sick leave?,"Yes. You have the right to be off work, without pay, due to illness or accident. If you have three months of uninterrupted service, you can receive up to two paid days of leave a year.Total absences must not exceed 26 weeks over a 12-month period. This 12-month period starts on the date of the first absence. An employee’s regular position and related benefits are protected by law for the duration of their leave.

Your employer must reinstate you to your regular position and give you the salary you would have been entitled to had you remained at work."
Does my employer have to pay for my sick days?​​​,"If you have three months of uninterrupted service, you can receive up to two paid sick days a year.Beyond those two sick days, the Act respecting labour standards does not require an employer to pay an employee for absences due to illness. It is the employer’s choice to provide paid sick days.

If you are a union member, check the leave provisions in your collective agreement.

To get employment insurance benefits, you must apply to Employment and Social Development Canada."
Will I lose my job if I take sick leave?,"Your right to return to the position you held at the time of your departure and the benefits associated with it is protected by law.When you are ready to return to work after being absent due to sickness or accident for no more than 26 weeks in a 12-month period, your employer must reinstate you to your regular position and give you the level of pay you would have been entitled to had you remained at work.

If your regular position no longer exists when you return, your employer must give you all the rights and privileges you would have had when the position was eliminated."
" If someone in my family has COVID-19, can I take time off work to care for them?","Yes. You can be absent from work for up to ten days a year to fulfill obligations regarding the care, health or education of your child or your spouse’s child or a relative’s medical condition. “Relative” can refer to the employee’s spouse as well as to the employee’s or the spouse’s children, father, mother, brothers, sisters or grandparents and to any of their spouses, their children and their children’s spouses.You are also entitled to this leave if someone for whom you act as a caregiver has a medical condition that requires you to take time off work.

In all cases, however, you must notify your employer of your absence as soon as possible and take reasonable steps to limit your leave and its duration.

If you have three months of uninterrupted service, you may also be entitled to two paid absences a year.

It is important to remember that, of the ten days provided for in the law, only the first two are paid. The eight others are unpaid. These ten days of leave per year may be split into days and taken at any time during the year. They may also be split into half-days if the employer agrees."
Schools and daycares are closed. Can I take time off to look after my child?​​​,"Yes, if you have notified your employer of your absence as soon as possible and have taken reasonable steps to limit the length of your leave, you may take time off from work.The law gives you ten days per year to fulfil obligations related to the care, health or education of your child or the child of your spouse.

If you have three months of uninterrupted service, you may also be entitled to two paid absences a year. It is important to remember that, of the ten days provided for in the law, only the first two are paid. The eight others are unpaid.

These ten days of leave per year may be split into days and taken at any time during the year. They may also be split into half-days if the employer agrees."
Schools and daycares will be closed for more than ten days. Does that mean that I will not be paid for the duration of these closures?,"Not necessarily. If someone has the option to work from home by arrangement with their employer, they keep their salary.If the person does not work, the employer is under no obligation to provide remuneration. An employer may, however, reach an arrangement with the employee so the latter receives their salary during their absence in return for work to be performed at a later date."
Can my employer ask me what country I went to on my vacation? Can he or she demand that I share that information?,"The Act respecting labour standards makes no provisions for this.However, it is the responsibility of each individual to protect their own health and that of their colleagues by answering their employer’s question.

All foreign countries are covered by the government order"
Can I be fired if I refuse to work overtime because I have to take care of my sick parents?,"No. Your employer cannot dismiss you for that.As long as you have taken reasonable steps to fulfil your family obligations otherwise, you have the right to refuse to work more than your usual working hours to fulfil obligations regarding the care, health or education of your child or your spouse’s child, or the medical condition of a relative or someone for whom you are acting as a caregiver."
" If an employer asks an employee to go home for mandatory isolation, does the employer have to pay the employee’s salary?","If the employee does not perform work, the employer is not obliged to pay their salary.The employer may, however, show understanding and reach an arrangement so the employee receives their salary during their absence in return for work to be performed at a later date.

If you feel that your suspension was unjustified, you can file a complaint with the CNESST. The Tribunal administratif du travail will determine whether the suspension was warranted."
What are my responsibilities to my employees if I have to close my business temporarily?,"At any time, if you must lay off employees for a period of less than 6 months, you are not obliged to give them a written notice. A verbal notice is permitted. Due to the measures taken by the Government in the context of the pandemic, a verbal notice is also permitted if you must close your business temporarily, regardless of length of this closure,Dismissal or layoff of more than 6 months

If you must dismiss employees (that is, permanently terminate their employment) or lay them off for a period of 6 months or longer, you must give a written notice of termination of employment to the persons who have at least 3 months of uninterrupted service. The deadline in which the notice must be delivered depends on the length of uninterrupted service:

less than 3 months of uninterrupted service: no minimum period
3 months to 1 year of uninterrupted service: 1 week
1 to 5 years 2 weeks
5 to 10 years 4 weeks
11 years or more 8 weeks
If you do not give this written notice, or if you do not give it within the required period, you will have to pay each employee a compensatory indemnity equivalent to his usual wages for a period equal to the period (or the residual period) of the notice to which the employee was entitled. This indemnity must not account for overtime.

This indemnity must be paid, as the case may be, at the time of the dismissal or at the time of the layoff projected for more than six months.

It is also possible that you wish to proceed with layoffs for an indeterminate period because you do not know in advance if the layoffs will extend beyond six months. In this case, you will have to pay the compensatory indemnity after a six-month layoff.

For more details, we invite you to refer to the section of our website concerning the notice of termination of employment

Collective dismissal

There is a collective dismissal if, over a period of 2 consecutive months, you terminate the employment of 10 or more employees of the same establishment, or lay them off for a period of more than 6 months.

In this case, before proceeding with such a dismissal, you must send a notice to the Minister of Employment and Social Solidarity, within the following minimum deadlines:

nine weeks, when the the number of employees concerned by the dismissal is at least equal to 10 and less than 100;
12 weeks, when the the number of employees concerned by the dismissal is at least equal to 100 and less than 300;
16 weeks, when the the number of employees concerned by the dismissal is at least equal to 300;
You must send a copy of this notice to the Commission des normes, de l'équité, de la santé et de la sécurité du travail and the certified association representing the employees, if one exists. You must also post the notice in your establishment.

At the time of the dismissal, you must pay the dismissed employees all the amounts due to them: wages, overtime, vacation pay (4% or 6%), etc.

All the persons concerned by a notice of collective dismissal must also receive a notice of termination of employment according to the periods provided for by law (indicated above). The persons concerned could be entitled to indemnities if these two notices are not given to them within the required periods."
Can I demand a medical certificate proving that an employee is not sick?,"It is not recommended to go to hospitals or medical clinics at the moment, especially if you are not sick.If you insist that an employee provide a medical certificate, be aware that the associated costs may be considered operating expenses and fringe benefits.

If you ask an employee to be away from work during their shift in order to obtain a medical certificate, you must pay the employee for their time.

The law provides that an employee is deemed to be at work if travelling at the employer’s request."
Can my employer force me to use my vacation leave or two days of paid sick leave ( permitted by law)?,"Your employer cannot force you to take your annual vacation unless they give you at least four weeks’ notice. You have the right to know when your annual vacation is going to start four weeks in advance.As for family- or sickness-related leave days:

There is no clause that would allow an employer to force you to use this leave. That would defeat the purpose of the Act:

Family-related leave is granted to employees who need to be off work for reasons related to the health or education of a child or to the medical condition of a relative (see definition).
Sick leave is granted to employees who need to be off work because they are sick.
It should be noted that no matter the reason (family obligation or sickness), employees are entitled to only two paid days of leave per year."
What can I do if I do not receive a record of employment or termination of employment?,"At any time, if an employer must lay off employees for a period of less than 6 months, the employer is under no obligation to give them a written notice. A verbal notice is sufficient. Due to government measures taken in response to the pandemic, a verbal notice is also permitted if the employer must close the business temporarily, regardless of length of this closure.If an employer must dismiss employees (that is, permanently terminate their employment) or lay them off for a period of 6 months or longer, the employer must give a written notice of termination of employment to the persons who have at least 3 months of uninterrupted service. The deadline in which the notice must be delivered depends on the length of uninterrupted service:

less than 3 months of uninterrupted service: no minimum period
3 months to 1 year of uninterrupted service: 1 week
1 to 5 years 2 weeks
5 to 10 years 4 weeks
10 years or more 8 weeks
Therefore, if you do not receive the notice to which you are entitled or if you receive insufficient notice, your employer must pay you an indemnity equal to your usual salary for the duration (or remaining duration) of the notice to which you are entitled. This indemnity must be paid at the time of the dismissal or at the time of the layoff projected for more than six months.

If your employer refuses to pay you the indemnity to which you are entitled, you can file a complaint with the CNESST.

It should be noted that the notice of termination of employment provided for in the Act respecting labour standards is different from the record of employment that an employer must provide for employment insurance purposes. For more information on records of employment, please refer to the Service Canada website."
Can a worker who contracted the coronavirus (COVID-19) through exposure in the workplace be compensated?,"Yes, workers who become infected with COVID-19 during the course of their employment may be entitled to the usual benefits and services provided under the Act respecting industrial accidents and occupational diseases (AIAOD).The worker must see a physician or, exceptionally, a nurse who will make the diagnosis, notify the employer and complete the worker’s claim so it can be submitted to the CNESST. The worker must demonstrate that they came into contact with the virus through or in the course of their work. The work connection must be demonstrated in a conclusive manner.

The CNESST’s decision will take into account the specifics of each claim."
What is the procedure for making a COVID-19-related claim?,"As with other types of employment injuries, a worker seeking compensation for an industrial accident must fill out the Worker’s Claim form and send it to the CNESST.Exceptionally, the CNESST will accept a medical certificate confirming a COVID-19 diagnosis issued by a nurse and accompanied by the analysis results.

The CNESST encourages workers to make their claims online at My CNESST Space."
What kind of compensation can a worker receive?,"Once a claim has been accepted, the worker can be reimbursed for medical assistance (e.g., drugs), travel expenses, accommodation costs, etc.To be compensated, the worker must fill out the Application for Reimbursement of Expenses form. Claims can be made online.

If the employee becomes unable to work, they may be entitled to income replacement benefits."
"If the CNESST accepts a worker’s claim, when will they receive compensation?","As soon as the claim has been accepted, the worker may be reimbursed for all costs incurred for care, treatment or drugs in connection with the employment injury and in accordance with the legal provisions. In addition, the worker may be entitled to income replacement benefits should they have to stop working as a result of the employment injury."
"Can claims be made for secondary exposure (e.g., if a worker’s close relative is infected)?","No, only workers who contract the disease as a result of their work can be compensated."
" If a pregnant worker decided to stay home right now while waiting for her doctor’s appointment and the CNESST’s decision, would she be eligible for retroactive compensation?​​​","Pregnant workers can stop working before seeing a doctor.They must inform their employer of the reasons for their immediate withdrawal from work (COVID-19). The employer will acknowledge the danger present at the worker’s workstation and confirm an assignment to safe work or preventive withdrawal.

The danger (COVID-19) must be present in the workplace. The worker must:

See a doctor as soon as possible
Get a Preventive Withdrawal and Reassignment Certificate for a Pregnant or Breast-feeding Worker (PWC)
Give the PWC to the employer
If the worker is eligible for the For a Safe Maternity Experience Program (FSMEP) and is on preventive withdrawal, she may be retroactively entitled to income replacement benefits.

If the application is denied, the worker is not entitled to income replacement benefits"
" Regarding the risks associated with COVID-19 infection, has the CNESST provided special measures for the withdrawal of pregnant women?​​","Yes. Given the ongoing spread of COVID-19, the CNESST has streamlined the processing of preventive withdrawal requests for pregnant healthcare workers. Here are the two possible scenarios:Pregnant workers who have already obtained a Preventive Withdrawal Certificate and who perform one of the tasks set out in section 5 of the Institut national de santé publique (INSPQ) document Recommandations intérimaires sur les mesures de prévention en milieux de travail pour les travailleuses enceintes ou qui allaitent:
may be immediately withdrawn from work
do not need to obtain a new Preventive Withdrawal Certificate or a new job analysis
For new preventive withdrawal applications and when the worker is unable to see a doctor to obtain a Preventive Withdrawal Certificate and a job analysis, a nurse must confirm:
that the worker is pregnant
that she is able to work
In the latter scenario, if the employer is unable to get a job analysis from Direction de la santé publique, the employer must submit a document confirming that the pregnant healthcare worker is performing one of the tasks set out in section 5 of the above-mentioned document.

Upon receipt of these two documents (Preventive Withdrawal Certificate and confirmation of a covered job), the CNESST will be able to process the preventive withdrawal application."
What are the steps for a pregnant worker to apply for reassignment due to the coronavirus?,"Pregnant workers in healthcare settings, including dedicated COVID-19 clinics , Given the current COVID-19 outbreak, the CNESST has streamlined the processing of preventive withdrawal requests for pregnant healthcare workers. Here are the two possible scenarios:

Pregnant workers who have already obtained a Preventive Withdrawal Certificate and who perform one of the tasks set out in section 5 of the Institut national de santé publique (INSPQ) document Recommandations intérimaires sur les mesures de prévention en milieux de travail pour les travailleuses enceintes ou qui allaitent

must be reassigned to a position where this risk is not present or immediately withdrawn from work
do not need to obtain a new Preventive Withdrawal Certificate or a new job analysis
For new preventive withdrawal applications, the worker must see a physician to get a Preventive Withdrawal Certificate.

In the latter scenario, if the employer is unable to get a job analysis from the public health department, the employer must submit a document confirming that the pregnant healthcare worker is performing one of the tasks set out in section 5 of the above-mentioned document.

Upon receipt of these two documents (Preventive Withdrawal Certificate and confirmation of a covered job), the CNESST will be able to process the preventive withdrawal application.

Pregnant workers in non-healthcare settings

Pregnant workers who do not work in a healthcare setting or at a dedicated COVID-19 clinic must first inform their employer of their request for preventive withdrawal and the reasons for their immediate withdrawal from work (COVID-19). If the employer acknowledges the COVID-19 risk, but cannot provide reassignment, the worker may stop working before seeing her doctor.

The worker must then:

See her doctor as soon as possible
Get a Preventive Withdrawal Certificate
Give the Preventive Withdrawal Certificate to her employer
Upon receipt of these two documents (Preventive Withdrawal Certificate and confirmation of a covered job), the CNESST will be able to process the preventive withdrawal application.

If the worker is eligible for the For a Safe Maternity Experience Program and is on preventive withdrawal, she will be retroactively compensated."
What happens to workers on reassignment if an employer closes due to COVID-19?,The CNESST continues to pay income replacement benefits.The employer or the worker must inform the CNESST that the company has been closed.
"What happens to workers on reassignment if an employer cuts back (e.g., emergency dental clinics)? ​​​","The worker retains her employment benefits (section 43 of the Act respecting occupational health and safety).The employer may request reassignment support if the worker remains on reassignment.

If the worker is on preventive withdrawal, she will continue to receive income replacement benefits."
"What happens if a pregnant worker is exposed to COVID-19 while on reassignment in a healthcare setting, including a dedicated COVID-19 clinic?","The worker may be withdrawn from work without obtaining a new Preventive Withdrawal Certificate or a new job analysis if the following conditions are met:She has been exposed to the new hazard (COVID-19)
She perform one or more of the tasks set out in section 5 of the document Recommandations intérimaires sur les mesures de prévention en milieu de travail pour les travailleuses enceintes ou qui allaitent
The employer cannot reassign her to a hazard-free work environment (no COVID-19)"
What happens to workers on preventive withdrawal if an employer closes due to COVID-19?,The CNESST continues to pay income replacement benefits.The employer or the worker must inform the CNESST that the company has been closed due to COVID-19.
"What happens to workers on preventive withdrawal if an employer cuts back (e.g., emergency dental clinics)?",Nothing changes—she will continue to receive income replacement benefits.
Some physicians refuse to issue a new Preventive Withdrawal Certificate for new hazards. They say they do not have enough information to determine if COVID-19 is a new hazard. What to do?,"The worker’s physician must obtain the medico-environmental analysis (job analysis) from the public health department to find out about the risks.Your public health department’s contact information can be found under the ""RÉGIONS"" section of the Réseau de santé publique en santé au travail website."
"Who qualifies as a worker in a healthcare setting, including dedicated COVID-19 clinics?",Workers who perform one or more of the tasks set out in section 5 of the document Recommandations intérimaires sur les mesures de prévention en milieu de travail pour les travailleuses enceintes ou qui allaitent. 
"What happens to workers on preventive withdrawal if an employer cuts back (e.g., emergency dental clinics)?",Nothing changes—she will continue to receive income replacement benefits.
Some physicians refuse to issue a new Preventive Withdrawal Certificate for new hazards. They say they do not have enough information to determine if COVID-19 is a new hazard. What to do?,"The worker’s physician must obtain the medico-environmental analysis (job analysis) from the public health department to find out about the risks.Your public health department’s contact information can be found under the ""RÉGIONS"" section of the Réseau de santé publique en santé au travail website."
"Who qualifies as a worker in a healthcare setting, including dedicated COVID-19 clinics?",Workers who perform one or more of the tasks set out in section 5 of the document Recommandations intérimaires sur les mesures de prévention en milieu de travail pour les travailleuses enceintes ou qui allaitent. 
What if a worker is under home quarantine while her spouse is working because his or her employer has not closed its doors?,This does not fall within the purview of the CNESST. Please consult the website of the Government of Québec for more information on this subject: https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/
Will my income replacement benefits be suspended if I miss an appointment due to COVID-19?,"The CNESST urges you to reschedule non-essential and non-urgent appointments to a later date. So if you miss care or treatment due to the coronavirus pandemic, your income replacement benefits will continue .Nevertheless, try to reschedule your appointments at least 24 hours in advance if possible. The CNESST does not reimburse cancellation fees charged by a medical facility when a worker does not show up for an appointment."
Do I have to inform the CNESST if the physical and occupational therapy clinic is closed?,"No, you do not have to inform the CNESST"
Are remote treatment or consultation payable?,"If the worker’s situation and condition are suitable, the CNESST will permit remote treatment and consultation provided that it is done in accordance with professional order rules As for the attendance register, it is recommended that clinics and practitioners obtain an email from the worker confirming that they have received treatment."
"Since it is harder to get a medical appointment during the COVID-19 pandemic, can I see another healthcare professional for my care?","Exceptionally, the CNESST will accept recommendations issued by a doctor, dentist, optometrist or pharmacist in their respective areas of expertise, as it is harder to get a medical appointment during the COVID-19 pandemic Furthermore, exceptionally, the CNESST can analyze worker claims related to COVID-19 when the medical certificate is completed by a nurse confirming this diagnosis and accompanied by the analysis results"
"In the current context of COVID-19, will the CNESST accept an audiogram dated more than 12 months ago for authorization to purchase or renew hearing prostheses?","Given the current COVID-19 situation, the CNESST will accept audiograms up to 14 months old."
Will the billing deadline be extended for providers?,"Exceptionally, the 180-day deadline will be calculated from the date on which the special measures are lifted by the government. The CNESST will inform orders and associations of the exact date in a timely manner."
"Will clinics still be able to use the CNESST’s Physio-Ergo app to submit physical and occupational therapy documents after April 1, 2020?","Given the current situation, the CNESST will exceptionally extend the Physio-Ergo rollout phase beyond March 31, 2020. The CNESST Physio-Ergo app will therefore remain available beyond April 1, 2020.As the situation develops, discussions will be held with each of the software manufacturers to determine how to continue the rollout to the remaining clinics."
Do I have to keep a medical appointment requested by the CNESST?,"The CNESST is postponing all medical assessments until further notice,The CNESST will notify you that your appointment has been postponed in a timely manner.,The CNESST will also notify the designated medical professionals in a timely manner.,You and your employer will receive a written notice when a new appointment date has been set."
The CNESST requested that I see a respirologist for an occupational lung disease claim. Do I have to show up for the appointment?,"The CNESST is postponing all scheduled lung disease assessments with respirologists until further notice.,The CNESST will notify you that your appointment has been postponed in a timely manner.,The CNESST will also notify the relevant health professionals in a timely manner."
"What does the CNESST suggest for my employer, who has arranged a medical assessment?","The CNESST encourages employers to postpone non-urgent medical assessments, to reduce the propagation of COVID-19.Furthermore, no income replacement benefits will be suspended by the CNESST."
The Bureau d’évaluation médicale (BEM) has requested that I submit to a medical assessment. Do I have to keep the appointment?,"The BEM has suspended all appointments and is informing the CNESST, on an ongoing basis, of appointments that have been moved to later dates.The BEM will notify you of this deferral and the date of your next appointment in a timely manner."
Will the 30-day deadline for supplementary reports be extended for attending physicians?,"Yes, the CNESST is extending the deadline for submitting supplementary reports by 30 days during the COVID-19 pandemic. Attending physicians will therefore have 60 days from the date of the request to respond to the Commission. This extension may be reassessed as circumstances change."
I have to take a leave of absence from my temporary work assignment due to COVID-19. Will the CNESST resume my income replacement benefits?,"Every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker. However, these situations may arise:,You are under mandatory isolation in accordance with the Québec government’s COVID-19 health guidelines. The CNESST will continue or resume your income replacement benefits.
Work goes on at your company and there are no medical conditions or government guidelines that would justify your absence from work. The CNESST will assess the reasons put forward and then inform you if your income replacement benefits are being continued or suspended.
Your employer has implemented company-wide telework so everyone can temporarily be reassigned to work from home. The CNESST will consider this to be a continuation of your temporary reassignment and you will have to go through with it.
A company or organization (e.g., sports centre, daycare centre, school) is closed or ceases some of its operations in accordance with the Québec government’s COVID-19 health guidelines. As a result, your temporary work assignment comes to an end. The CNESST will resume your income replacement benefits from the date of cessation of work.
The worker or the employer must inform the CNESST that the temporary reassignment has ended."
